epoch,jaccard_distance,loss,lr,val_jaccard_distance,val_loss
0,0.14007622003555298,0.14007626473903656,1e-04,0.2743094563484192,0.2743094563484192
1,0.06997732073068619,0.06997733563184738,1e-04,0.1346302330493927,0.1346302479505539
2,0.058896034955978394,0.05889604240655899,1e-04,0.0900086760520935,0.09000866860151291
3,0.05140269547700882,0.05140268802642822,1e-04,0.07349088788032532,0.07349088788032532
4,0.04360527917742729,0.04360528290271759,1e-04,0.0651564747095108,0.0651564747095108
5,0.03749002143740654,0.03749002888798714,1e-04,0.0501469224691391,0.0501469224691391
6,0.032992321997880936,0.032992321997880936,1e-04,0.04066460579633713,0.04066460579633713
7,0.029023857787251472,0.029023854061961174,1e-04,0.05451081693172455,0.05451082065701485
8,0.026984356343746185,0.026984356343746185,1e-04,0.053629253059625626,0.05362926423549652
9,0.024592680856585503,0.0245926845818758,1e-05,0.03420698642730713,0.03420698642730713
