epoch,jaccard_distance,loss,lr,val_jaccard_distance,val_loss
0,0.017925888299942017,0.017925884574651718,1e-04,0.03877619653940201,0.03877618536353111
1,0.015561990439891815,0.015561985783278942,1e-04,0.0448458231985569,0.0448458157479763
2,0.0157263595610857,0.01572636142373085,1e-04,0.04521642625331879,0.045216407626867294
3,0.013398947194218636,0.01339894998818636,1e-05,0.030067890882492065,0.030067874118685722
4,0.012051374651491642,0.012051381170749664,1e-05,0.02934090793132782,0.029340917244553566
5,0.011531474068760872,0.011531469412147999,1e-05,0.02890739031136036,0.02890739031136036
6,0.01117950864136219,0.011179506778717041,1e-05,0.02841428853571415,0.028414292261004448
7,0.010881805792450905,0.010881800204515457,1e-05,0.028774570673704147,0.028774572536349297
8,0.01062289159744978,0.010622894391417503,1e-05,0.028817059472203255,0.02881704829633236
9,0.010501224547624588,0.010501211509108543,1e-06,0.028286071494221687,0.02828606590628624
