epoch,jaccard_distance,loss,lr,val_jaccard_distance,val_loss
0,0.06985001266002655,0.06985005736351013,1e-04,0.03464171290397644,0.034641701728105545
1,0.0229534599930048,0.022953469306230545,1e-04,0.01589639112353325,0.0158963892608881
2,0.012979461811482906,0.012979461811482906,1e-04,0.00943280104547739,0.009432800114154816
3,0.008260102942585945,0.008260098285973072,1e-04,0.006882682908326387,0.006882681977003813
4,0.006451479624956846,0.006451479624956846,1e-04,0.005323120858520269,0.005323123652487993
5,0.005076297093182802,0.00507629569619894,1e-04,0.004565343726426363,0.004565345123410225
6,0.004353961441665888,0.004353960510343313,1e-04,0.003967442084103823,0.00396744254976511
7,0.00399049511179328,0.003990497440099716,1e-04,0.0036089271306991577,0.0036089273635298014
8,0.00375961372628808,0.003759615123271942,1e-04,0.0034058857709169388,0.0034058853052556515
9,0.003606328507885337,0.0036063273437321186,1e-04,0.0032771637197583914,0.003277162555605173
