epoch,jaccard_distance,loss,lr,val_jaccard_distance,val_loss
0,0.0916791558265686,0.09167907387018204,1e-04,0.12997809052467346,0.12997807562351227
1,0.035077158361673355,0.03507712110877037,1e-04,0.026147624477744102,0.026147613301873207
2,0.018412232398986816,0.01841222308576107,1e-04,0.016374846920371056,0.016374854370951653
3,0.011648200452327728,0.011648200452327728,1e-04,0.01209229789674282,0.012092298828065395
4,0.008580722846090794,0.008580727502703667,1e-04,0.010026945732533932,0.010026944801211357
5,0.006913081277161837,0.006913083605468273,1e-04,0.009962398558855057,0.009962396696209908
6,0.006409518886357546,0.006409508176147938,1e-04,0.00838327594101429,0.008383275009691715
7,0.005322094075381756,0.00532209686934948,1e-04,0.007742032874375582,0.007742031943053007
8,0.004948509857058525,0.0049485135823488235,1e-04,0.007505709771066904,0.007505710236728191
9,0.0047387792728841305,0.004738778341561556,1e-04,0.007340341806411743,0.0073403422720730305
