epoch,jaccard_distance,loss,lr,val_jaccard_distance,val_loss
0,0.047931477427482605,0.04793146252632141,1e-04,0.026018748059868813,0.026018759235739708
1,0.01782703772187233,0.01782703958451748,1e-04,0.01616685837507248,0.01616685651242733
2,0.011064003221690655,0.011064006946980953,1e-04,0.009538711979985237,0.009538713842630386
3,0.007311924826353788,0.007311922498047352,1e-04,0.006926828529685736,0.006926830392330885
4,0.005860277451574802,0.005860278848558664,1e-04,0.005947408266365528,0.005947408732026815
5,0.005145731382071972,0.005145730916410685,1e-04,0.005383201874792576,0.00538319768384099
6,0.004726245999336243,0.004726250655949116,1e-04,0.00505618704482913,0.0050561861135065556
7,0.004464821889996529,0.004464822821319103,1e-04,0.004847194068133831,0.004847194068133831
8,0.004295961000025272,0.004295959137380123,1e-04,0.004710674285888672,0.004710673820227385
9,0.004184196703135967,0.004184199497103691,1e-04,0.004616076126694679,0.004616074729710817
