epoch,dice_loss,loss,lr,val_dice_loss,val_loss
0,0.4291745126247406,0.42917460203170776,1e-04,0.5551019310951233,0.5544840693473816
1,0.38580718636512756,0.3858070373535156,1e-04,0.5266980528831482,0.5268378257751465
2,0.351779580116272,0.3517795205116272,1e-04,0.5276194214820862,0.5285126566886902
3,0.329150527715683,0.32915031909942627,1e-04,0.46325311064720154,0.46294209361076355
4,0.31379422545433044,0.3137941062450409,1e-04,0.5199121236801147,0.5202595591545105
5,0.2944071888923645,0.2944071888923645,1e-04,0.5105963945388794,0.5113458037376404
6,0.28366461396217346,0.2836645841598511,1e-05,0.49173879623413086,0.49209561944007874
7,0.26708751916885376,0.26708751916885376,1e-05,0.4691314399242401,0.4694689214229584
8,0.2601992189884186,0.26019924879074097,1e-06,0.4702613055706024,0.47057536244392395
9,0.2590767443180084,0.2590765953063965,1e-06,0.4692864418029785,0.4695839285850525
10,0.2581452429294586,0.25814512372016907,1e-07,0.4681057929992676,0.4683941900730133
11,0.2580716609954834,0.25807175040245056,1e-07,0.4679151475429535,0.4682016372680664
12,0.25798138976097107,0.25798141956329346,1e-08,0.4677952826023102,0.46808069944381714
13,0.25797438621520996,0.2579744756221771,1e-08,0.46777379512786865,0.46805867552757263
14,0.25796499848365784,0.2579651176929474,1e-09,0.46775874495506287,0.46804362535476685
