epoch,jaccard_distance,loss,lr,val_jaccard_distance,val_loss
0,0.13782446086406708,0.1378243863582611,1e-04,0.1385594755411148,0.13855944573879242
1,0.05261373519897461,0.0526137538254261,1e-04,0.03525545448064804,0.035255447030067444
2,0.02667851746082306,0.026678523048758507,1e-04,0.09369967877864838,0.0936996340751648
3,0.016699083149433136,0.01669907197356224,1e-04,0.012853127904236317,0.012853125110268593
4,0.009358196519315243,0.009358200244605541,1e-04,0.006872429978102446,0.006872428115457296
5,0.005676934961229563,0.0056769330985844135,1e-04,0.14555519819259644,0.14555515348911285
6,0.004861850291490555,0.004861847031861544,1e-04,0.0030721297953277826,0.003072130959481001
7,0.0021798606030642986,0.0021798599045723677,1e-04,0.0017773304134607315,0.001777330064214766
8,0.0014262236654758453,0.001426222501322627,1e-04,0.0012783828424289823,0.0012783833080902696
9,0.000990221044048667,0.0009902206948027015,1e-04,0.0009335045469924808,0.000933504372369498
