epoch,dice_loss,loss,lr,val_dice_loss,val_loss
0,0.17021508514881134,0.17049559950828552,1e-05,0.7316232323646545,0.7316231727600098
1,0.16598659753799438,0.16624900698661804,1e-05,0.7256024479866028,0.7256024479866028
2,0.16304133832454681,0.16330167651176453,1e-05,0.7281790375709534,0.7281789183616638
3,0.1607113927602768,0.16096682846546173,1e-05,0.7163264155387878,0.7163264155387878
4,0.1578969955444336,0.15814243257045746,1e-05,0.7241156101226807,0.7241157293319702
5,0.15431052446365356,0.15455090999603271,1e-05,0.7185726165771484,0.7185726165771484
6,0.15071706473827362,0.15094394981861115,1e-06,0.715031087398529,0.715031087398529
7,0.15005095303058624,0.1502760350704193,1e-06,0.7132734060287476,0.713273286819458
8,0.149594247341156,0.14981815218925476,1e-06,0.7125385403633118,0.7125385403633118
9,0.14921064674854279,0.14943353831768036,1e-06,0.7121594548225403,0.7121593952178955
10,0.14885109663009644,0.14907290041446686,1e-06,0.712041974067688,0.712041974067688
11,0.14850695431232452,0.1487276703119278,1e-06,0.711930513381958,0.711930513381958
12,0.14816895127296448,0.14838871359825134,1e-06,0.7118796110153198,0.7118797302246094
13,0.14783276617527008,0.1480514109134674,1e-06,0.7117760181427002,0.7117758989334106
14,0.1474965661764145,0.14771418273448944,1e-06,0.7116250991821289,0.7116250395774841
15,0.1471577137708664,0.1473742574453354,1e-06,0.7115616798400879,0.7115616798400879
16,0.14681905508041382,0.14703460037708282,1e-06,0.7114495038986206,0.7114495038986206
17,0.146479070186615,0.14669346809387207,1e-06,0.7112869024276733,0.7112868428230286
18,0.14613983035087585,0.14635322988033295,1e-06,0.7111751437187195,0.7111750841140747
19,0.14579933881759644,0.14601171016693115,1e-06,0.711039662361145,0.711039662361145
